  No.,Time,Snd/Rcv,Dest,Src,Priority,PGN,Data
1,0.002,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
2,0.005,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
3,0.012,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
4,0.015,Receive,17,30,5,61184,81 CC 03 0F 00 00 00 00 
5,0.016,Receive,255,242,6,59904,0B F5 01 
6,0.023,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
7,0.025,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
8,0.034,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
9,0.035,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
10,0.036,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
11,0.045,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
12,0.046,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
13,0.046,Receive,17,30,5,61184,87 2E 2E 6E 2E 6E 6E FF 
14,0.055,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
15,0.056,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
16,0.065,Receive,17,30,5,61184,81 CC 03 0F 00 00 00 00 
17,0.067,Receive,0,242,6,59904,07 FD 01 
18,0.068,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19,0.075,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
20,0.078,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
21,0.086,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
22,0.087,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
23,0.089,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
24,0.096,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
25,0.096,Receive,17,30,5,61184,88 6E 6E 6E 6E 6E 6E FF 
26,0.1,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
27,0.107,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
28,0.111,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
29,0.116,Receive,17,30,5,61184,81 CC 03 0F 00 00 00 00 
30,0.118,Receive,255,242,6,59904,07 FD 01 
31,0.122,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
32,0.126,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
33,0.144,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
34,0.145,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
35,0.145,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
36,0.146,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
37,0.146,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
38,0.155,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
39,0.156,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
40,0.166,Receive,17,30,5,61184,81 CC 03 0F 00 00 00 00 
41,0.167,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
42,0.169,Receive,0,242,6,59904,E8 FE 00 
43,0.176,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
44,0.178,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
45,0.186,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
46,0.187,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
47,0.188,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
48,0.197,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
49,0.199,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
50,0.207,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
51,0.21,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
52,0.217,Receive,17,30,5,61184,81 CC 03 0F 00 00 00 00 
53,0.22,Receive,255,242,6,59904,E8 FE 00 
54,0.221,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
55,0.227,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
56,0.232,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
57,0.237,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
58,0.237,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
59,0.244,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
60,0.247,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
61,0.254,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
62,0.257,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
63,0.265,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
64,0.267,Receive,17,30,5,61184,81 CC 03 0F 00 00 00 00 
65,0.271,Receive,0,242,6,59904,D3 FF 00 
66,0.276,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
67,0.278,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
68,0.286,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
69,0.288,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
70,0.288,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
71,0.298,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
72,0.299,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
73,0.308,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
74,0.31,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
75,0.318,Receive,17,30,5,61184,81 CC 03 0F 00 00 00 00 
76,0.321,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
77,0.322,Receive,255,242,6,59904,D3 FF 00 
78,0.328,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
79,0.332,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
80,0.336,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
81,0.338,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
82,0.343,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
83,0.348,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
84,0.354,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
85,0.358,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
86,0.365,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
87,0.368,Receive,17,30,5,61184,81 CC 03 0F 00 00 00 00 
88,0.373,Receive,0,242,6,59904,E1 FF 00 
89,0.376,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
90,0.379,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
91,0.387,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
92,0.388,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
93,0.389,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
94,0.404,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
95,0.405,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
96,0.409,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
97,0.41,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
98,0.419,Receive,17,30,5,61184,81 CC 03 0F 00 00 00 00 
99,0.421,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
100,0.424,Receive,255,242,6,59904,E1 FF 00 
101,0.429,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
102,0.432,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
103,0.437,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
104,0.437,Receive,17,30,5,61184,86 01 7F 01 FF FF FC FF 
105,0.439,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
106,0.443,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
107,0.449,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
108,0.454,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
109,0.46,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
110,0.465,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
111,0.47,Receive,17,30,5,61184,81 CC 03 0F 00 00 00 00 
112,0.475,Receive,0,242,6,59904,E4 FF 00 
113,0.476,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
114,0.48,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
115,0.487,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
116,0.488,Receive,17,30,5,61184,86 02 7F 01 FF FF FC FF 
117,0.49,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
118,0.491,Receive,255,0,6,65247,FF FF FF FF FF FF FF F0 
119,0.492,Receive,255,242,6,61184,45 01 
120,0.492,Receive,255,242,6,61184,4C 3A 03 
121,0.493,Receive,255,242,6,61184,4F EF FF 
122,0.495,Receive,255,242,6,61184,4E A0 0F 
123,0.496,Receive,255,242,6,61184,6E A0 0F 
124,0.497,Receive,255,242,6,61184,64 00 00 
125,0.498,Receive,255,242,6,61184,53 02 00 
126,0.499,Receive,255,242,6,61184,41 00 00 04 00 00 00 00 
127,0.5,Receive,255,242,6,61184,46 00 00 00 00 00 00 00 
128,0.501,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
129,0.502,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
130,0.503,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
131,0.514,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
132,0.515,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
133,0.52,Receive,17,30,5,61184,81 CC 03 0F 00 00 00 00 
134,0.523,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
135,0.526,Receive,255,242,6,59904,E4 FF 00 
136,0.53,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
137,0.534,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
138,0.538,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
139,0.539,Receive,17,30,5,61184,86 03 7F 01 FF FF FC FF 
140,0.54,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
141,0.545,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
142,0.551,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
143,0.556,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
144,0.561,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
145,0.567,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
146,0.571,Receive,17,30,5,61184,81 CC 03 0F 01 00 00 00 
147,0.577,Receive,0,242,6,59904,E6 FF 00 
148,0.579,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
149,0.581,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
150,0.586,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
151,0.589,Receive,17,30,5,61184,86 04 7F 01 FF FF FC FF 
152,0.59,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
153,0.591,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
154,0.6,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
155,0.601,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
156,0.611,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
157,0.612,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
158,0.621,Receive,17,30,5,61184,81 CC 03 0F 00 00 00 00 
159,0.622,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
160,0.628,Receive,255,242,6,59904,E6 FF 00 
161,0.631,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
162,0.633,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
163,0.637,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
164,0.64,Receive,17,30,5,61184,86 05 7F 01 FF FF FC FF 
165,0.642,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
166,0.644,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
167,0.652,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
168,0.655,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
169,0.662,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
170,0.666,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
171,0.672,Receive,17,30,5,61184,81 CC 03 0F 00 00 00 00 
172,0.677,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
173,0.679,Receive,0,242,6,59904,E7 FF 00 
174,0.682,Receive,255,81,3,64785,0A 04 E0 03 7E 00 00 FF 
175,0.683,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
176,0.687,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
177,0.688,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
178,0.69,Receive,17,30,5,61184,86 06 7F 01 FF FF FC FF 
179,0.692,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
180,0.7,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
181,0.702,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
182,0.71,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
183,0.712,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
184,0.721,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
185,0.723,Receive,17,30,5,61184,81 CC 03 0F 00 00 00 00 
186,0.73,Receive,255,242,6,59904,E7 FF 00 
187,0.732,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
188,0.733,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
189,0.737,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
190,0.741,Receive,17,30,5,61184,86 07 7F 01 FF FF FC FF 
191,0.743,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
192,0.743,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
193,0.753,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
194,0.754,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
195,0.763,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
196,0.765,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
197,0.773,Receive,17,30,5,61184,81 CC 03 0F 00 00 00 00 
198,0.776,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
199,0.781,Receive,0,242,6,59904,EA FF 00 
200,0.783,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
201,0.788,Receive,255,81,6,61454,FF FF FF FF FF FF FF FF 
202,0.788,Receive,30,17,5,61184,04 7F 00 7F 00 00 00 FF 
203,0.791,Receive,17,30,5,61184,86 08 7F 01 FF FF FC FF 
204,0.793,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
