No.,Time,Snd/Rc,Dest,Src,Priority,PGN,NOx Raw,O2 Raw,Status,Heater,Error NOx,Error O2
1,3.149,Receive,255,0,6,65247,65535,65535,255,255,255,5
2,3.149,Receive,255,0,6,65247,65535,65535,255,255,255,5
3,3.151,Receive,255,81,6,61454,3984,62597,85,159,31,255
4,3.151,Receive,255,81,6,61454,3984,62597,85,159,31,255
5,3.169,Receive,255,0,6,65247,65535,65535,255,255,255,5
6,3.169,Receive,255,0,6,65247,65535,65535,255,255,255,5
7,3.174,Receive,255,82,6,61455,3976,62812,85,159,31,255
8,3.174,Receive,255,82,6,61455,3976,62812,85,159,31,255
9,3.189,Receive,255,0,6,65247,65535,65535,255,255,255,5
10,3.189,Receive,255,0,6,65247,65535,65535,255,255,255,5
11,3.201,Receive,255,81,6,61454,3984,62597,85,159,31,255
12,3.201,Receive,255,81,6,61454,3984,62597,85,159,31,255
13,3.209,Receive,255,0,6,65247,65535,65535,255,255,255,5
14,3.209,Receive,255,0,6,65247,65535,65535,255,255,255,5
15,3.224,Receive,255,82,6,61455,3976,62812,85,159,31,255
16,3.224,Receive,255,82,6,61455,3976,62812,85,159,31,255
17,3.229,Receive,255,0,6,65247,65535,65535,255,255,255,5
18,3.229,Receive,255,0,6,65247,65535,65535,255,255,255,5
19,3.249,Receive,255,0,6,65247,65535,65535,255,255,255,5
20,3.249,Receive,255,0,6,65247,65535,65535,255,255,255,5
21,3.251,Receive,255,81,6,61454,3984,62597,85,159,31,255
22,3.251,Receive,255,81,6,61454,3984,62597,85,159,31,255
23,3.269,Receive,255,0,6,65247,65535,65535,255,255,255,5
24,3.269,Receive,255,0,6,65247,65535,65535,255,255,255,5
25,3.274,Receive,255,82,6,61455,3976,62812,85,159,31,255
26,3.274,Receive,255,82,6,61455,3976,62812,85,159,31,255
27,3.289,Receive,255,0,6,65247,65535,65535,255,255,255,5
28,3.289,Receive,255,0,6,65247,65535,65535,255,255,255,5
29,3.301,Receive,255,81,6,61454,3984,62602,85,159,31,255
30,3.301,Receive,255,81,6,61454,3984,62602,85,159,31,255
31,3.309,Receive,255,0,6,65247,65535,65535,255,255,255,5
32,3.309,Receive,255,0,6,65247,65535,65535,255,255,255,5
33,3.324,Receive,255,82,6,61455,3976,62812,85,159,31,255
34,3.324,Receive,255,82,6,61455,3976,62812,85,159,31,255
35,3.329,Receive,255,0,6,65247,65535,65535,255,255,255,5
36,3.329,Receive,255,0,6,65247,65535,65535,255,255,255,5
37,3.349,Receive,255,0,6,65247,65535,65535,255,255,255,5
38,3.349,Receive,255,0,6,65247,65535,65535,255,255,255,5
39,3.351,Receive,255,81,6,61454,3984,62597,85,159,31,255
40,3.351,Receive,255,81,6,61454,3984,62597,85,159,31,255
41,3.369,Receive,255,0,6,65247,65535,65535,255,255,255,5
42,3.369,Receive,255,0,6,65247,65535,65535,255,255,255,5
43,3.374,Receive,255,82,6,61455,3976,62812,85,159,31,255
44,3.374,Receive,255,82,6,61455,3976,62812,85,159,31,255
45,3.389,Receive,255,0,6,65247,65535,65535,255,255,255,5
46,3.389,Receive,255,0,6,65247,65535,65535,255,255,255,5
47,3.401,Receive,255,81,6,61454,3984,62597,85,159,31,255
48,3.401,Receive,255,81,6,61454,3984,62597,85,159,31,255
49,3.409,Receive,255,0,6,65247,65535,65535,255,255,255,5
50,3.409,Receive,255,0,6,65247,65535,65535,255,255,255,5
51,3.424,Receive,255,82,6,61455,3976,62812,85,159,31,255
52,3.424,Receive,255,82,6,61455,3976,62812,85,159,31,255
53,3.429,Receive,255,0,6,65247,65535,65535,255,255,255,5
54,3.429,Receive,255,0,6,65247,65535,65535,255,255,255,5
55,3.449,Receive,255,0,6,65247,65535,65535,255,255,255,5
56,3.449,Receive,255,0,6,65247,65535,65535,255,255,255,5
57,3.451,Receive,255,81,6,61454,3984,62597,85,159,31,255
58,3.451,Receive,255,81,6,61454,3984,62597,85,159,31,255
59,3.469,Receive,255,0,6,65247,65535,65535,255,255,255,5
60,3.469,Receive,255,0,6,65247,65535,65535,255,255,255,5
61,3.474,Receive,255,82,6,61455,3976,62808,85,159,31,255
62,3.474,Receive,255,82,6,61455,3976,62808,85,159,31,255
63,3.489,Receive,255,0,6,65247,65535,65535,255,255,255,5
64,3.489,Receive,255,0,6,65247,65535,65535,255,255,255,5
65,3.501,Receive,255,81,6,61454,3984,62597,85,159,31,255
66,3.501,Receive,255,81,6,61454,3984,62597,85,159,31,255
67,3.509,Receive,255,0,6,65247,65535,65535,255,255,255,5
68,3.509,Receive,255,0,6,65247,65535,65535,255,255,255,5
69,3.524,Receive,255,82,6,61455,3968,62808,85,159,31,255
70,3.524,Receive,255,82,6,61455,3968,62808,85,159,31,255
71,3.529,Receive,255,0,6,65247,65535,65535,255,255,255,5
72,3.529,Receive,255,0,6,65247,65535,65535,255,255,255,5
73,3.549,Receive,255,0,6,65247,65535,65535,255,255,255,5
74,3.549,Receive,255,0,6,65247,65535,65535,255,255,255,5
75,3.551,Receive,255,81,6,61454,3994,62602,85,159,31,255
76,3.551,Receive,255,81,6,61454,3994,62602,85,159,31,255
77,3.569,Receive,255,0,6,65247,65535,65535,255,255,255,5
78,3.569,Receive,255,0,6,65247,65535,65535,255,255,255,5
79,3.574,Receive,255,82,6,61455,3968,62808,85,159,31,255
80,3.574,Receive,255,82,6,61455,3968,62808,85,159,31,255
81,3.589,Receive,255,0,6,65247,65535,65535,255,255,255,5
82,3.589,Receive,255,0,6,65247,65535,65535,255,255,255,5
83,3.601,Receive,255,81,6,61454,3994,62602,85,159,31,255
84,3.601,Receive,255,81,6,61454,3994,62602,85,159,31,255
